,count,mean,std,min,25%,50%,75%,max
osebuildingid,30284.0,22782.4,13445.9,1.0,20188.0,23419.5,26558.0,50956.0
datayear,30284.0,2019.13,2.58,2015.0,2017.0,2019.0,2021.0,2023.0
zipcode,30284.0,98116.51,16.72,98101.0,98105.0,98112.0,98122.0,98199.0
latitude,30284.0,47.62,0.05,47.5,47.6,47.62,47.66,47.73
longitude,30284.0,-122.33,0.03,-122.41,-122.35,-122.33,-122.32,-122.26
councildistrictcode,30284.0,4.22,2.24,1.0,2.0,4.0,7.0,7.0
yearbuilt,30284.0,1972.04,33.96,1900.0,1952.0,1979.0,2000.0,2022.0
numberoffloors,30284.0,5.02,5.64,1.0,3.0,4.0,6.0,76.0
numberofbuildings,30284.0,1.24,5.42,1.0,1.0,1.0,1.0,300.0
propertygfatotal,30284.0,103688.14,213771.0,20000.0,29380.0,46527.0,97855.0,15216474.0
propertygfabuildings,30284.0,87938.91,188450.16,11111.0,27480.0,43330.0,87315.0,15216474.0
propertygfaparking,30284.0,15749.23,46237.23,0.0,0.0,0.0,9298.0,686750.0
selfreportgfatotal,30284.0,105451.83,217073.8,0.0,29400.0,47332.0,101337.0,15216474.0
selfreportgfabuildings,30284.0,87954.65,188276.36,0.0,27272.0,43162.0,87864.0,15216474.0
selfreportparking,30284.0,17497.18,49042.21,0.0,0.0,0.0,12000.0,786771.0
energystarscore,30284.0,73.88,22.42,1.0,67.0,80.0,88.0,100.0
siteeuiwn_kbtu_sf,30284.0,52.75,53.03,3.5,28.6,38.0,57.6,1411.5
siteeui_kbtu_sf,30284.0,52.17,52.98,5.0,28.0,37.4,56.7,1421.9
siteenergyuse_kbtu,30284.0,5260204.64,18147215.33,86686.0,974233.0,1866283.0,4202950.0,1059039424.0
siteenergyusewn_kbtu,30284.0,5221677.16,17400327.15,91736.0,995720.0,1890081.0,4191497.5,1055418496.0
sourceeuiwn_kbtu_sf,30284.0,119.18,119.17,-2.1,71.3,90.1,124.5,3952.3
sourceeui_kbtu_sf,30284.0,118.3,119.62,-2.0,70.2,88.7,123.6,3981.3
largestpropertyusetypegfa,30284.0,82205.11,151061.56,5656.0,25880.0,41289.5,81204.0,9320156.0
electricity_kwh,30284.0,1030659.83,3341440.0,0.0,194760.5,351277.5,814194.75,196026304.0
electricity_kbtu,30284.0,3516571.53,11401003.45,0.0,664505.25,1198544.0,2778031.5,668841749.0
totalghgemissions,30284.0,120.46,571.94,0.2,8.2,32.6,92.0,24776.6
ghgemissionsintensity,30284.0,1.18,1.79,0.01,0.19,0.63,1.37,46.46
